,element_type,osmid,area,geometry,population_2020,temperature_2m_max,temperature_2m_min,rain_sum,snowfall_sum,windspeed_10m_max,winddirection_10m_dominant,max_temp,min_temp,max_windspeed,slopes
0,way,368724372,10693.517767937767,POINT (36.124514215999234 36.1932362025975),9234.159911155699,21.609304871373837,13.126382047071703,1.7351395730706078,0.022681992337164752,15.850191570881227,195.05145046524356,34,0,25,7.190185497272008
1,way,486082934,1429.5190442282556,POINT (36.14900117815332 36.18734587801664),5615.68503332138,21.26464148877942,12.462889983579641,2.1111658456486047,0.018735632183908044,17.263492063492063,184.59934318555008,32,0,27,1.8651357931896304
2,way,639485270,1784.938236637928,POINT (36.15125549424495 36.188028064986135),15680.05779981613,21.11335522714833,12.313245758073347,2.1111658456486047,0.018735632183908044,17.263492063492063,184.59934318555008,32,-1,27,12.56626988877727
3,way,1139283634,2815.4587050790287,POINT (36.148110800000005 36.184604449999995),11098.222727775572,21.26464148877942,12.462889983579641,2.1111658456486047,0.018735632183908044,17.263492063492063,184.59934318555008,32,0,27,3.0191489851347626
4,way,1140722732,1493.7235296567446,POINT (36.15332604727433 36.20244721605488),7706.881552696227,20.964641488779417,12.16288998357964,2.1111658456486047,0.018735632183908044,17.263492063492063,184.59934318555008,32,-2,27,1.4772659640287695
5,way,1145595129,1039.1520590388698,POINT (36.13558615 36.1725286),5639.181624412536,19.86814449917898,12.565079365079367,3.541269841269841,0.01314176245210728,16.291954022988506,187.07662835249042,31,0,27,40.726499851486835
